regionID,regionName
district_525,BENGALURU URBAN
district_526,BENGALURU RURAL
district_631,RAMANAGARA
district_542,KOLAR
district_630,CHIKKABALLAPURA
district_548,TUMAKURU
district_533,CHITRADURGA
district_535,DAVANGERE
district_547,SHIVAMOGGA
district_527,BELAGAVI
district_530,VIJAYAPURA
district_524,BAGALKOTE
district_536,DHARWAD
district_537,GADAG
district_540,HAVERI
district_550,UTTARA KANNADA
district_538,KALABURAGI
district_635,YADGIR
district_529,BIDAR
district_528,BALLARI
district_738,VIJAYANAGAR
district_546,RAICHUR
district_543,KOPPAL
district_545,MYSURU
district_531,CHAMARAJANAGARA
district_544,MANDYA
district_539,HASSAN
district_534,DAKSHINA KANNADA
district_549,UDUPI
district_532,CHIKKAMAGALURU
district_541,KODAGU
ulb_276600,BBMP
