record.date,regionID,daily.suspected,daily.tested,daily.igm_positives,daily.ns1_positives,daily.total_positives,daily.deaths,cumulative.suspected,cumulative.tested,cumulative.igm_positives,cumulative.ns1_positives,cumulative.total_positives,cumulative.deaths
2023-09-12,district_525,12,6,1,0,1,0,254,125,32,1,33,0
2023-09-12,district_526,0,0,0,0,0,0,577,476,24,16,40,0
2023-09-12,district_631,0,0,0,0,0,0,2174,1322,11,43,54,0
2023-09-12,district_542,117,42,11,5,16,0,4178,1142,80,26,106,0
2023-09-12,district_630,0,0,0,0,0,0,2421,920,49,25,74,0
2023-09-12,district_548,0,0,0,0,0,0,4034,2036,86,44,130,0
2023-09-12,district_533,0,0,0,0,0,0,1758,1467,59,99,158,0
2023-09-12,district_535,0,0,0,0,0,0,3074,2111,77,63,140,0
2023-09-12,district_547,25,15,7,0,7,0,8001,3888,107,100,207,0
2023-09-12,district_527,0,0,0,0,0,0,4948,2240,119,30,149,0
2023-09-12,district_530,134,96,5,4,9,0,3746,1963,121,58,179,0
2023-09-12,district_524,0,0,0,0,0,0,1206,1186,63,15,78,0
2023-09-12,district_536,0,0,0,0,0,0,1092,992,82,33,115,0
2023-09-12,district_537,0,0,0,0,0,0,1508,1134,3,75,78,0
2023-09-12,district_540,0,0,0,0,0,0,2222,1192,35,27,62,0
2023-09-12,district_550,0,0,0,0,0,0,389,268,21,5,26,0
2023-09-12,district_538,0,0,0,0,0,0,11612,1602,160,16,176,0
2023-09-12,district_635,837,753,5,5,10,0,2662,2000,32,23,55,0
2023-09-12,district_529,0,0,0,0,0,0,1245,1245,36,22,58,0
2023-09-12,district_528,31,31,5,0,5,0,2647,2409,85,12,97,0
2023-09-12,district_738,1,1,1,0,1,0,504,465,34,7,41,0
2023-09-12,district_546,0,0,0,0,0,0,1453,1453,9,20,29,0
2023-09-12,district_543,11,11,0,0,0,0,1630,1621,61,18,79,0
2023-09-12,district_545,90,90,0,3,3,0,4906,4906,423,17,440,0
2023-09-12,district_531,117,70,0,16,16,0,1213,878,7,106,113,0
2023-09-12,district_544,0,0,0,0,0,0,1253,880,69,19,88,0
2023-09-12,district_539,0,0,0,0,0,0,2397,1203,38,105,143,0
2023-09-12,district_534,0,0,0,0,0,0,5100,2074,92,94,186,0
2023-09-12,district_549,253,253,13,22,35,0,2605,2605,227,154,381,0
2023-09-12,district_532,0,0,0,0,0,0,2344,2060,26,109,135,0
2023-09-12,district_541,30,30,1,0,1,0,1774,1774,34,77,111,0
2023-09-12,ulb_276600,0,0,0,0,0,0,11105,9788,1399,3580,4979,0
